Brachytheciaceae|アオギヌゴケ科|コエノヒツジゴケ|Brachythecium kuroishicum var. littorale|Brachythecium kuroishicum Besch.  var. littorale Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科|コミノヒロハフサゴケ|Brachythecium kuroishicum var. parvicarpum|Brachythecium kuroishicum Besch.  var. parvicarpum (Besch.) Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|エゾヒツジゴケ|Brachythecium miyabei|Brachythecium miyabei (Broth.) Paris|0|0||
Brachytheciaceae|アオギヌゴケ科|ヒツジゴケ|Brachythecium moriense|Brachythecium moriense Besch.|0|0||
Brachytheciaceae|アオギヌゴケ科|ナガエヒツジゴケ|Brachythecium moriense var. longirameum|Brachythecium moriense Besch.  var. longirameum Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科||Brachythecium nakazimae|Brachythecium nakazimae Iisiba|0|0||不明
Brachytheciaceae|アオギヌゴケ科|ツヤヤナギゴケ|Brachythecium nitidulum|Brachythecium nitidulum (Broth.) Nog.|0|0||
Brachytheciaceae|アオギヌゴケ科|ノグチヒツジゴケ|Brachythecium noguchii|Brachythecium noguchii Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|オタルヒツジゴケ|Brachythecium otaruense|Brachythecium otaruense Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科|キノクニヒツジゴケ|Brachythecium pallescens|Brachythecium pallescens Dixon et Thér.|0|0||
Brachytheciaceae|アオギヌゴケ科|サガリヒツジゴケ|Brachythecium pendulum|Brachythecium pendulum Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|ケアオギヌゴケ|Brachythecium piligerum|Brachythecium piligerum Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科|シワバヒツジゴケモドキ|Brachythecium pinnatum|Brachythecium pinnatum Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|ハネヒツジゴケ|Brachythecium plumosum|Brachythecium plumosum (Hedw.) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ヤクシマヤノネゴケ|Brachythecium plumosum var. concavifolium|Brachythecium plumosum (Hedw.) Schimp.  var. concavifolium (Sakurai) Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|コアミヒツジゴケ|Brachythecium plumosum var. densirete|Brachythecium plumosum (Hedw.) Schimp.  var. densirete (Broth. et Paris) Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|ミンマヤヒツジゴケ|Brachythecium plumosum var. mimmayae|Brachythecium plumosum (Hedw.) Schimp.  var. mimmayae Besch.|0|0||
Brachytheciaceae|アオギヌゴケ科|キビノヒツジゴケ|Brachythecium plumosum var. scariosifolium|Brachythecium plumosum (Hedw.) Schimp.  var. scariosifolium Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科|アオギヌゴケ|Brachythecium populeum|Brachythecium populeum (Hedw.) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ナガエノアオギヌゴケ|Brachythecium populeum var. longisetum|Brachythecium populeum (Hedw.) Schimp.  var. longisetum Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|サクラジマヒツジゴケ|Brachythecium procumbens|Brachythecium procumbens (Mitt.) A.Jaeger|0|0||
Brachytheciaceae|アオギヌゴケ科|ニセコヒツジゴケ|Brachythecium pseudouematsui|Brachythecium pseudouematsui Nog.|0|0||
