7449|Dryopteridaceae|鱗毛蕨科|草葉耳蕨|Polystichum herbaceum|Polystichum herbaceum Ching & Z.Y.Liu|2|0|CR|原生
7431|Grammitidaceae|禾葉蕨科|寡毛荷包蕨|Calymmodon oligotrichus|Calymmodon oligotrichus T.C.Hsu|2|0|NT|原生
7465|Grammitidaceae|禾葉蕨科|大禾葉蕨|Grammitis intromissa|Grammitis intromissa (Christ) Parris|2|0|DD|原生
7430|Grammitidaceae|禾葉蕨科|多毛禾葉蕨|Oreogrammitis congener var. polytricha|Oreogrammitis congener (Blume) Parris var. polytricha T.C.Hsu|2|0|EN|原生
7513|Grammitidaceae|禾葉蕨科|弼昭禾葉蕨|Oreogrammitis marivelesensis|Oreogrammitis marivelesensis (Copel.) Parris|2|0|CR|原生
7459|Grammitidaceae|禾葉蕨科|東亞禾葉蕨|Oreogrammitis orientalis|Oreogrammitis orientalis T.C.Hsu|2|0|CR|原生
7443|Grammitidaceae|禾葉蕨科|寶島穴子蕨|Prosaptia formosana|Prosaptia formosana (Hayata) T.C.Hsu|2|0|LC|原生
7476|Grammitidaceae|禾葉蕨科|宜蘭禾葉蕨|Radiogrammitis ilanensis|Radiogrammitis ilanensis T.C.Hsu|2|0|CR|原生
7435|Grammitidaceae|禾葉蕨科|牟氏輻禾蕨|Radiogrammitis moorei|Radiogrammitis moorei Parris & Ralf Knapp|2|0|CR|原生
7498|Grammitidaceae|禾葉蕨科|亞顯脈禾葉蕨|Radiogrammitis subnervosa|Radiogrammitis subnervosa T.C.Hsu|2|0|VU|原生
7452|Hymenophyllaceae|膜蕨科|圓唇假脈蕨|Crepidomanes bilabiatum|Crepidomanes bilabiatum (Nees & Blume) Copel.|2|0|EN|原生
7491|Hymenophyllaceae|膜蕨科|短柄單葉假脈蕨|Didymoglossum motleyi|Didymoglossum motleyi (Bosch) Ebihara & K.Iwats.|2|0|NT|原生
7503|Hymenophyllaceae|膜蕨科|盾形單葉假脈蕨|Didymoglossum tahitense|Didymoglossum tahitense (Nadeaud) Ebihara & K.Iwats.|2|0|LC|原生
7511|Hymenophyllaceae|膜蕨科|疏毛毛葉蕨|Hymenophyllum acutum|Hymenophyllum acutum (C.Presl) Ebihara & K.Iwats.|2|0|VU|原生
7442|Hymenophyllaceae|膜蕨科|青綠膜蕨|Hymenophyllum okadae|Hymenophyllum okadae Masam.|2|0|LC|原生
7489|Hymenophyllaceae|膜蕨科|半翼柄蕗蕨|Hymenophyllum semialatum|Hymenophyllum semialatum T.C.Hsu|2|0|VU|原生
7488|Lindsaeaceae|陵齒蕨科|三角葉陵齒蕨|Lindsaea orbiculata var. deltoidea|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. deltoidea Y.C.Wu|2|0|LC|原生
7461|Lindsaeaceae|陵齒蕨科|闊片陵齒蕨|Lindsaea orbiculata var. recedens|Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. recedens (Ching) W.C.Shieh|2|0|LC|原生
7479|Lindsaeaceae|陵齒蕨科|中間烏蕨|Odontosoria ×intermedia|Odontosoria ×intermedia (S.J.Lin, M.Kato & K.Iwats.) Nakaike|2|0|NA|原生
7468|Lindsaeaceae|陵齒蕨科|八重山烏蕨|Odontosoria ×yaeyamensis|Odontosoria ×yaeyamensis (S.J.Lin, M.Kato & K.Iwats.) Ebihara|2|0|NA|原生
7492|Ophioglossaceae|瓶爾小草科|蕨萁|Botrychium virginianum|Botrychium virginianum (L.) Sw.|2|0|EN|原生
7484|Ophioglossaceae|瓶爾小草科|小瓶爾小草|Ophioglossum parvum|Ophioglossum parvum M.Nishida & Kurita|2|0|DD|i?
7438|Parkeriaceae|水蕨科|姬水蕨|Ceratopteris gaudichaudii var. vulgaris|Ceratopteris gaudichaudii Brongn. var. vulgaris Masuyama & Watano|2|0|LC|原生
7460|Polypodiaceae|水龍骨科|大線蕨|Leptochilus pothifolius|Leptochilus pothifolius (Buch.-Ham. ex D.Don) Fraser-Jenk.|2|0|LC|原生
7475|Polypodiaceae|水龍骨科|密葉劍蕨|Loxogramme confertifolia|Loxogramme confertifolia Tagawa|2|1|DD|原生
7497|Polypodiaceae|水龍骨科|水社擬茀蕨|Phymatosorus longissimus|Phymatosorus longissimus (Blume) Pic.Serm.|2|0|EN|原生
7470|Polypodiaceae|水龍骨科|海岸擬茀蕨|Phymatosorus scolopendria|Phymatosorus scolopendria (Burm.f.) Pic.Serm.|2|0|LC|原生
7518|Polypodiaceae|水龍骨科|鹿角蕨|Platycerium bifurcatum|Platycerium bifurcatum (Cav.) C.Chr.|2|0|NA|歸化
