547|Athyriaceae|蹄蓋蕨科|深山雙蓋蕨|Diplazium mettenianum|Diplazium mettenianum (Miq.) C. Chr.|1|0||原生
548|Athyriaceae|蹄蓋蕨科|琉球雙蓋蕨|Diplazium okinawaense|Diplazium okinawaense Tagawa|1|0||原生
549|Athyriaceae|蹄蓋蕨科|假耳羽雙蓋蕨|Diplazium okudairai|Diplazium okudairai Makino|1|0|DD|未知
550|Athyriaceae|蹄蓋蕨科|廣葉深山雙蓋蕨|Diplazium petrii|Diplazium petrii Tardieu|1|0||原生
551|Athyriaceae|蹄蓋蕨科|擬德氏雙蓋蕨|Diplazium pseudodoederleinii|Diplazium pseudodoederleinii Hayata|1|0||原生
552|Athyriaceae|蹄蓋蕨科|樸氏雙蓋蕨|Diplazium pullingeri|Diplazium pullingeri (Baker) J. Sm.|1|0||原生
553|Athyriaceae|蹄蓋蕨科|長苞雙蓋蕨|Diplazium squamigerum|Diplazium squamigerum (Mett.) C. Hope|1|0||原生
554|Athyriaceae|蹄蓋蕨科|單葉雙蓋蕨|Diplazium subsinuatum|Diplazium subsinuatum (Wall. ex Hook. & Grev.) Tagawa|1|0||原生
555|Athyriaceae|蹄蓋蕨科|臺灣雙蓋蕨|Diplazium taiwanense|Diplazium taiwanense Tagawa|1|0||原生
556|Athyriaceae|蹄蓋蕨科|刺柄雙蓋蕨|Diplazium virescens|Diplazium virescens Kunze|1|0||原生
557|Athyriaceae|蹄蓋蕨科|鋸齒雙蓋蕨|Diplazium wichurae|Diplazium wichurae (Mett.) Diels|1|0||原生
286|Blechnaceae|烏毛蕨科|雉尾烏毛蕨|Blechnum melanopus|Blechnum melanopus Hook.|1|0||原生
287|Blechnaceae|烏毛蕨科|烏毛蕨|Blechnum orientale|Blechnum orientale L.|1|0||原生
288|Blechnaceae|烏毛蕨科|蘇鐵蕨|Brainea insignis|Brainea insignis (Hook.) J. Sm.|1|0|VU|原生
289|Blechnaceae|烏毛蕨科|假桫欏|Diploblechnum fraseri|Diploblechnum fraseri (A. Cunn.) De Vol|1|0|CR|原生
290|Blechnaceae|烏毛蕨科|天長羅曼蕨|Struthiopteris eburnea var. obtusa|Struthiopteris eburnea var. obtusa (Tagawa) Tagawa|1|0|VU|原生
291|Blechnaceae|烏毛蕨科|韓氏羅曼蕨|Struthiopteris hancockii|Struthiopteris hancockii (Hance) Tagawa|1|0||原生
292|Blechnaceae|烏毛蕨科|哈氏狗脊蕨|Woodwardia harlandii|Woodwardia harlandii Hook.|1|0|NT|原生
293|Blechnaceae|烏毛蕨科|日本狗脊蕨|Woodwardia japonica|Woodwardia japonica (L. f.) Sm.|1|0||原生
294|Blechnaceae|烏毛蕨科|細葉狗脊蕨|Woodwardia kempii|Woodwardia kempii Copel.|1|0|VU|原生
295|Blechnaceae|烏毛蕨科|臺灣狗脊蕨|Woodwardia orientalis var. formosana|Woodwardia orientalis var. formosana Rosenst.|1|0||原生
296|Blechnaceae|烏毛蕨科|生芽狗脊蕨|Woodwardia unigemmata|Woodwardia unigemmata (Makino) Nakai|1|0||原生
126|Cibotiaceae|金狗毛蕨科|金狗毛蕨|Cibotium barometz|Cibotium barometz (L.) J. Sm.|1|0||原生
127|Cibotiaceae|金狗毛蕨科|臺灣金狗毛蕨|Cibotium taiwanense|Cibotium taiwanense C.M. Kuo|1|1||原生
